Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,188.65093994140625,5.259210586547852,0.18145409,0.2406262,0.40215802,0.07562045,0.8269893,0.00028493255,0.2679317,0.9999999999999766,Accepted
HiResCAM,1.0,132.56631469726562,5.259210586547852,0.13298017,0.16908969,0.25048572,0.046576127,0.55420697,0.00015969574,0.12705474,0.9996379675247771,Accepted
GradCAMElementWise,1.0,92.40890502929688,5.259210586547852,0.088500544,0.1178685,0.17881916,0.03237807,0.39391223,0.00015134364,0.16489767,0.999996542416226,Accepted
GradCAMPlusPlus,1.0,130.11270141601562,5.259210586547852,0.12025422,0.16596006,0.23663501,0.052995943,0.50522304,9.416044e-05,0.2575522,0.9999999999997591,Accepted
XGradCAM,1.0,222.5219268798828,5.259210586547852,0.2746475,0.283829,0.4031099,0.13985771,0.7839303,2.9414892e-05,-0.17165354,0.9999986655739618,Accepted
AblationCAM,1.0,192.3580322265625,5.259210586547852,0.21261118,0.24535461,0.35709873,0.09751784,0.73524755,0.000118494034,-0.09300555,0.9908299781980658,Accepted
ScoreCAM,0.954081654548645,145.2399444580078,5.259210586547852,0.1318928,0.18525505,0.26217356,0.047175303,0.57607985,0.0,0.02287345,0.4775133623490614,Accepted
EigenCAM,0.9987244606018066,60.97364044189453,5.259210586547852,0.07280165,0.0777725,0.11482892,0.03674117,0.1973621,0.0,-0.260802,0.9999999999998825,Accepted
EigenGradCAM,1.0,126.90129089355469,5.259210586547852,0.083312705,0.16186388,0.21971451,0.031562246,0.50137013,3.7804246e-05,0.14928286,0.999972927228967,Accepted
LayerCAM,1.0,92.40890502929688,5.259210586547852,0.088500544,0.1178685,0.17881916,0.03237807,0.39391223,0.00015134364,0.16489767,0.999996542416226,Accepted
FullGrad,1.0,104.66339111328125,5.259210586547852,0.11487989,0.13349922,0.19500904,0.062344857,0.3937466,1.719594e-05,0.26553082,0.9999999999999594,Accepted
KPCA_CAM,0.9132652878761292,17.34499168395996,5.259210586547852,0.013826504,0.022123711,0.03281027,0.0051808823,0.07421744,0.0,0.15545282,0.9999877078828071,Accepted
FEM,0.954081654548645,70.29105377197266,5.259210586547852,0.058870956,0.08965695,0.13676667,0.015913503,0.3176931,0.0,0.050223473,0.8399490021033472,Accepted
ShapleyCAM,1.0,201.1142578125,5.259210586547852,0.17237085,0.25652328,0.3911747,0.093616016,0.8166098,5.3822994e-05,0.12750515,0.9996551764472077,Accepted
FinerCAM,1.0,201.63633728027344,5.259210586547852,0.2106428,0.2571892,0.3990256,0.08573398,0.7936405,6.854534e-06,0.24079499,0.9999999999916425,Accepted
