Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,99.69933319091797,13.080663681030273,0.08872989,0.12716752,0.17214048,0.03536665,0.3756573,5.19678e-06,0.14556351,0.9999570637312615,Accepted
HiResCAM,1.0,115.80079650878906,13.080663681030273,0.11617985,0.1477051,0.21762353,0.056577735,0.45823577,1.630187e-05,0.17500299,0.9999991792320386,Accepted
GradCAMElementWise,0.9987244606018066,78.31493377685547,13.080663681030273,0.080654666,0.0998915,0.14364265,0.031768374,0.31100506,0.0,0.16052683,0.9999937249828021,Accepted
GradCAMPlusPlus,1.0,111.96658325195312,13.080663681030273,0.115886405,0.14281453,0.2135482,0.049060084,0.45659113,0.00017389655,0.117073506,0.9989770170850442,Accepted
XGradCAM,1.0,163.5784912109375,13.080663681030273,0.17569774,0.20864601,0.31146103,0.08280145,0.63548297,0.0004618764,0.0794151,0.9738237662724432,Accepted
AblationCAM,1.0,123.02008056640625,13.080663681030273,0.09282346,0.15691335,0.21901518,0.042165816,0.48071396,0.00012751482,0.018082358,0.38682048637389077,Accepted
ScoreCAM,0.9872449040412903,187.4987030029297,13.080663681030273,0.17592439,0.23915653,0.32621422,0.0804465,0.692194,0.0,-0.16899769,0.9999980510999632,Accepted
EigenCAM,1.0,68.302734375,13.080663681030273,0.08317241,0.08712083,0.1210144,0.046442308,0.23178726,0.00024414062,-0.08373711,0.9809738598262318,Accepted
EigenGradCAM,1.0,177.83221435546875,13.080663681030273,0.18952015,0.22682679,0.34742466,0.10175662,0.702151,0.00044041872,0.063974395,0.9265876679160727,Accepted
LayerCAM,0.9987244606018066,78.31493377685547,13.080663681030273,0.080654666,0.0998915,0.14364265,0.031768374,0.31100506,0.0,0.16052683,0.9999937249828021,Accepted
FullGrad,1.0,108.14801025390625,13.080663681030273,0.12724845,0.1379439,0.19598544,0.059158534,0.39781493,0.0003387332,-0.1070816,0.9973190954059141,Accepted
KPCA_CAM,1.0,49.96937561035156,13.080663681030273,0.046413876,0.063736446,0.0908604,0.018823856,0.19818658,4.633516e-05,0.2106094,0.9999999973924044,Accepted
FEM,0.9936224222183228,129.47735595703125,13.080663681030273,0.141812,0.16514969,0.2242699,0.076108664,0.44499242,0.0,0.14187238,0.9999328795897601,Accepted
ShapleyCAM,1.0,188.67282104492188,13.080663681030273,0.19361556,0.24065411,0.3962138,0.056107897,0.70079625,0.0004723221,0.17338261,0.9999989604712418,Accepted
FinerCAM,1.0,132.2488250732422,13.080663681030273,0.093705006,0.1686847,0.2470223,0.03435073,0.5651493,0.00026780367,0.15203984,0.9999809036068313,Accepted
