Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,161.39657592773438,5.823915004730225,0.17475489,0.20586295,0.3056481,0.07077685,0.65126836,0.000285808,0.12750046,0.9996549983625886,Accepted
HiResCAM,1.0,123.86714935302734,5.823915004730225,0.11932509,0.15799381,0.224624,0.046132375,0.4913763,0.00052399933,0.18107393,0.9999996678569084,Accepted
GradCAMElementWise,1.0,72.65353393554688,5.823915004730225,0.069008455,0.09267032,0.13363442,0.033646118,0.28147295,0.000109642744,0.08265041,0.9793586103575453,Accepted
GradCAMPlusPlus,1.0,135.5670623779297,5.823915004730225,0.14174065,0.17291717,0.24117607,0.0725109,0.4931441,4.1872263e-05,0.03025448,0.6024291528454859,Accepted
XGradCAM,1.0,185.61814880371094,5.823915004730225,0.21415654,0.23675786,0.34216753,0.1127112,0.6832837,0.0008240938,0.05147938,0.8501542632985608,Accepted
AblationCAM,1.0,154.31854248046875,5.823915004730225,0.15196912,0.19683488,0.2706228,0.06384322,0.5706768,0.00022407249,0.10849871,0.9976506687979809,Accepted
ScoreCAM,0.8341836929321289,102.84889221191406,5.823915004730225,0.07004212,0.13118483,0.19110812,0.01124337,0.45081535,0.0,0.10691939,0.9972785261056104,Accepted
EigenCAM,0.9948979616165161,127.88085174560547,5.823915004730225,0.12781718,0.16311333,0.2197448,0.062439904,0.450223,0.0,0.20309961,0.9999999903982754,Accepted
EigenGradCAM,1.0,69.37101745605469,5.823915004730225,0.055862077,0.08848344,0.1136506,0.033684738,0.23143977,5.9604645e-08,0.18340352,0.9999997671897187,Accepted
LayerCAM,1.0,72.65353393554688,5.823915004730225,0.069008455,0.09267032,0.13363442,0.033646118,0.28147295,0.000109642744,0.08265041,0.9793586103575453,Accepted
FullGrad,1.0,70.6644287109375,5.823915004730225,0.07002837,0.0901332,0.13420379,0.028835773,0.28802952,0.0001527667,0.107400194,0.9973971431486415,Accepted
KPCA_CAM,1.0,103.0816879272461,5.823915004730225,0.11525585,0.13148175,0.19439802,0.052837618,0.40068382,0.0001026392,-0.13974369,0.9999135791478332,Accepted
FEM,0.7461734414100647,46.39751434326172,5.823915004730225,0.021367,0.0591805,0.06925681,0.0,0.16717431,0.0,0.0469211,0.8106210028865082,Accepted
ShapleyCAM,1.0,193.8771209716797,5.823915004730225,0.20696816,0.24729225,0.39926103,0.08181794,0.72891706,0.00021791458,0.069443054,0.9480624927452905,Accepted
FinerCAM,1.0,216.45867919921875,5.823915004730225,0.25222516,0.27609524,0.40551728,0.11783431,0.81542385,0.0008007437,0.09728021,0.9935887015477589,Accepted
