Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,99.78358459472656,9.078070640563965,0.0850694,0.12727499,0.17512894,0.03338501,0.38721225,9.641796e-05,-0.0039015338,0.08685112659483563,Accepted
HiResCAM,1.0,85.79329681396484,9.078070640563965,0.080475725,0.10943024,0.14745677,0.037918586,0.30850297,0.0011401176,0.02254457,0.4715162934732452,Accepted
GradCAMElementWise,1.0,59.058677673339844,9.078070640563965,0.06564818,0.07532996,0.10386596,0.03256465,0.2099509,0.00010126829,-0.027467813,0.5575231999318477,Accepted
GradCAMPlusPlus,1.0,139.46710205078125,9.078070640563965,0.1461488,0.17789172,0.24976657,0.07369718,0.50049907,0.000310719,0.15784632,0.9999910254668969,Accepted
XGradCAM,1.0,197.31080627441406,9.078070640563965,0.2458198,0.25167197,0.3652041,0.11717876,0.6851717,0.0008404255,-0.13647717,0.9998735204482841,Accepted
AblationCAM,1.0,185.4757843017578,9.078070640563965,0.21090953,0.23657627,0.3230747,0.12437321,0.61829096,0.00028431416,-0.038290836,0.7157523625547247,Accepted
ScoreCAM,0.9719387888908386,148.69686889648438,9.078070640563965,0.15894893,0.1896644,0.26356575,0.08639911,0.52796215,0.0,-0.014912255,0.32324837417681784,Accepted
EigenCAM,0.9132652878761292,51.59468460083008,9.078070640563965,0.04655522,0.06580955,0.11967555,0.0107761305,0.2518226,0.0,0.08377566,0.9810290095182244,Accepted
EigenGradCAM,1.0,151.313720703125,9.078070640563965,0.19036224,0.1930022,0.27352947,0.10496639,0.52501535,0.0003606677,-0.030931786,0.6129152778697435,Accepted
LayerCAM,1.0,59.058677673339844,9.078070640563965,0.06564818,0.07532996,0.10386596,0.03256465,0.2099509,0.00010126829,-0.027467813,0.5575231999318477,Accepted
FullGrad,1.0,99.57264709472656,9.078070640563965,0.115457,0.12700593,0.16053952,0.06606725,0.30194685,4.7564507e-05,0.01034848,0.22764950480215662,Accepted
KPCA_CAM,0.9757652878761292,44.55180358886719,9.078070640563965,0.042237677,0.05682628,0.08991395,0.015527416,0.19967633,0.0,0.011182517,0.2454317525973171,Accepted
FEM,0.9923469424247742,100.2034912109375,9.078070640563965,0.09733884,0.12781058,0.19093302,0.049230386,0.40163532,0.0,0.12127963,0.9993334467324003,Accepted
ShapleyCAM,1.0,120.7590103149414,9.078070640563965,0.14093569,0.15402934,0.22013807,0.078120604,0.42908278,0.00043046474,0.0687096,0.9455290638737602,Accepted
FinerCAM,1.0,180.7714385986328,9.078070640563965,0.16633014,0.23057583,0.3341801,0.06307735,0.73376036,0.00024604797,-0.01863541,0.39763578930263943,Accepted
