Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,157.94261169433594,0.9549627304077148,0.15719599,0.20145741,0.2995817,0.06785363,0.62997997,0.0004054606,0.060058147,0.9071323912475863,Accepted
HiResCAM,1.0,102.91333770751953,0.9549627304077148,0.11913161,0.13126701,0.18381794,0.06155044,0.3579274,0.00035998225,0.035498057,0.679129987947548,Accepted
GradCAMElementWise,1.0,60.217777252197266,0.9549627304077148,0.05744514,0.076808386,0.10675374,0.025448617,0.22462134,6.902218e-05,0.02063943,0.4360896834584753,Accepted
GradCAMPlusPlus,1.0,109.39266967773438,0.9549627304077148,0.11554902,0.13953148,0.1981563,0.051498882,0.4166646,0.0008099377,-0.026606334,0.5430751484337256,Accepted
XGradCAM,1.0,131.3770294189453,0.9549627304077148,0.15383165,0.16757272,0.2356161,0.074086525,0.4755904,0.001060307,-0.064731926,0.9299369736398371,Accepted
AblationCAM,1.0,186.69326782226562,0.9549627304077148,0.19788316,0.23812917,0.32727146,0.08338532,0.6853023,0.00022819266,0.04961302,0.8348027106024752,Accepted
ScoreCAM,0.8992347121238708,64.03180694580078,0.9549627304077148,0.04689962,0.08167321,0.11136358,0.0101352725,0.25974026,0.0,0.1205108,0.9992784288720299,Accepted
EigenCAM,0.9987244606018066,37.604888916015625,0.9549627304077148,0.036512315,0.04796542,0.06859673,0.013671391,0.15068763,0.0,0.23242648,0.9999999999554169,Accepted
EigenGradCAM,1.0,135.48880004882812,0.9549627304077148,0.15160133,0.17281735,0.22928248,0.072149985,0.46316648,0.00017996877,-0.03393516,0.6573501646371991,Accepted
LayerCAM,1.0,60.217777252197266,0.9549627304077148,0.05744514,0.076808386,0.10675374,0.025448617,0.22462134,6.902218e-05,0.02063943,0.4360896834584753,Accepted
FullGrad,1.0,68.90423583984375,0.9549627304077148,0.055680253,0.08788806,0.1181774,0.025516089,0.25677514,8.1419945e-05,0.027650844,0.5605580056342379,Accepted
KPCA_CAM,0.9323979616165161,23.76050567626953,0.9549627304077148,0.02467224,0.03030677,0.046327032,0.0076506324,0.10374376,0.0,0.11834746,0.9991001952910612,Accepted
FEM,0.8724489808082581,14.300579071044922,0.9549627304077148,0.010047469,0.018240534,0.022501506,0.002822538,0.051061407,0.0,0.17568386,0.9999992572813481,Accepted
ShapleyCAM,1.0,136.3902587890625,0.9549627304077148,0.12796661,0.17396718,0.23486252,0.06951615,0.478903,3.2424927e-05,-0.11280085,0.9984410800260388,Accepted
FinerCAM,1.0,202.3092498779297,0.9549627304077148,0.22768363,0.25804752,0.3592285,0.10535058,0.719673,0.0028277934,-0.03146557,0.6210577864491822,Accepted
