Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,93.35613250732422,1.070000171661377,0.059544362,0.1190767,0.18332957,0.01849018,0.42935124,7.299334e-05,0.09136208,0.989515065403109,Accepted
HiResCAM,1.0,80.15219116210938,1.070000171661377,0.08179566,0.10223494,0.13527593,0.033620644,0.28694567,0.00019314885,0.05211462,0.8551240268872997,Accepted
GradCAMElementWise,1.0,98.66458892822266,1.070000171661377,0.10049093,0.12584768,0.16524772,0.042951368,0.34799844,0.00034478307,0.051314473,0.8488435202574592,Accepted
GradCAMPlusPlus,1.0,110.67047882080078,1.070000171661377,0.10773523,0.14116132,0.19308391,0.045989305,0.41292042,2.7030706e-05,0.105195835,0.9968116586183116,Accepted
XGradCAM,1.0,178.6458282470703,1.070000171661377,0.21906172,0.22786458,0.31171784,0.11429532,0.59869695,0.00054627657,-0.03741915,0.7046385426605288,Accepted
AblationCAM,1.0,122.64013671875,1.070000171661377,0.07004343,0.15642874,0.24763212,0.02460298,0.5802176,2.696924e-05,0.09535846,0.9924569769003543,Accepted
ScoreCAM,1.0,176.195068359375,1.070000171661377,0.19062884,0.22473861,0.32763058,0.070273645,0.7024179,6.175041e-05,0.21318202,0.9999999983503165,Accepted
EigenCAM,1.0,71.43156433105469,1.070000171661377,0.09991113,0.09111169,0.12954171,0.047489084,0.2036739,0.00041279197,-0.08303119,0.9799376394466961,Accepted
EigenGradCAM,1.0,59.366390228271484,1.070000171661377,0.05315038,0.07572244,0.104684696,0.026297132,0.22036606,0.00021529011,0.006410852,0.14223415583637777,Accepted
LayerCAM,1.0,98.66458892822266,1.070000171661377,0.10049093,0.12584768,0.16524772,0.042951368,0.34799844,0.00034478307,0.051314473,0.8488435202574592,Accepted
FullGrad,1.0,107.3899154663086,1.070000171661377,0.10718872,0.13697693,0.21297657,0.04721881,0.45049432,0.00011444092,-0.029088816,0.5839885951345317,Accepted
KPCA_CAM,0.9094387888908386,14.7055025100708,1.070000171661377,0.012990342,0.01875702,0.023991277,0.0050980747,0.052059233,0.0,0.25255242,0.9999999999992866,Accepted
FEM,0.9961734414100647,68.17933654785156,1.070000171661377,0.05256085,0.08696345,0.10600327,0.027615927,0.22207682,0.0,0.14299722,0.9999413561507106,Accepted
ShapleyCAM,1.0,56.21516799926758,1.070000171661377,0.05682532,0.071703024,0.10504517,0.029804718,0.21651745,8.612871e-05,0.081395335,0.9773458464013141,Accepted
FinerCAM,1.0,174.49453735351562,1.070000171661377,0.12876526,0.22256957,0.3343459,0.047751836,0.7635213,0.0005249083,0.13154402,0.9997787380973421,Accepted
