Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,138.9284210205078,3.3400001525878906,0.13545233,0.17720462,0.2539772,0.06296893,0.5349394,0.00023166835,-0.03823682,0.715072148481022,Accepted
HiResCAM,1.0,82.39787292480469,3.3400001525878906,0.0830909,0.10509933,0.15961331,0.033712924,0.34053335,5.9604645e-08,0.079047516,0.9731205703111363,Accepted
GradCAMElementWise,0.9987244606018066,65.50757598876953,3.3400001525878906,0.0648724,0.08355558,0.122640446,0.027886707,0.264561,0.0,0.11242888,0.9983839164018411,Accepted
GradCAMPlusPlus,1.0,167.20550537109375,3.3400001525878906,0.18259284,0.21327233,0.28444937,0.10173275,0.5585082,0.00030627847,-0.051898792,0.8534503740965349,Accepted
XGradCAM,1.0,128.26976013183594,3.3400001525878906,0.13617393,0.16360939,0.25779435,0.056471415,0.54818463,0.00050237775,-0.04893175,0.8289138068211113,Accepted
AblationCAM,1.0,122.8348388671875,3.3400001525878906,0.10519423,0.15667708,0.22345755,0.041255333,0.48226735,0.00010087341,-0.06383914,0.925976484067912,Accepted
ScoreCAM,1.0,143.85496520996094,3.3400001525878906,0.15076536,0.18348847,0.2350523,0.08044852,0.46156397,0.0024438798,0.10478846,0.9966911385400142,Accepted
EigenCAM,0.9030612111091614,62.86521530151367,3.3400001525878906,0.056236714,0.08018523,0.10908659,0.016246518,0.24614963,0.0,0.098384805,0.9941678503853933,Accepted
EigenGradCAM,1.0,191.32081604003906,3.3400001525878906,0.21595472,0.24403167,0.39796656,0.09528165,0.778024,0.00027805567,-0.103766076,0.9963702999324958,Accepted
LayerCAM,0.9987244606018066,65.50757598876953,3.3400001525878906,0.0648724,0.08355558,0.122640446,0.027886707,0.264561,0.0,0.11242888,0.9983839164018411,Accepted
FullGrad,0.9987244606018066,102.46664428710938,3.3400001525878906,0.113192305,0.13069725,0.19281504,0.052257285,0.38696682,0.0,0.110993266,0.9981447395343355,Accepted
KPCA_CAM,0.9923469424247742,56.35141372680664,3.3400001525878906,0.050456055,0.07187681,0.0958285,0.024526034,0.202515,0.0,0.102305174,0.995862727933557,Accepted
FEM,0.9987244606018066,59.274879455566406,3.3400001525878906,0.064917915,0.07560571,0.10025093,0.03654172,0.19186667,0.0,0.017521916,0.375771868174794,Accepted
ShapleyCAM,1.0,133.5523681640625,3.3400001525878906,0.16087176,0.17034741,0.25125343,0.06941098,0.45851985,0.00075650215,-0.026522195,0.5416496842866859,Accepted
FinerCAM,1.0,170.94949340820312,3.3400001525878906,0.18632528,0.21804783,0.3076653,0.09361923,0.62122,0.0006232485,-0.029951952,0.5976905714768261,Accepted
