Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,118.50312042236328,6.095223903656006,0.10879283,0.15115193,0.2096992,0.057455666,0.43470594,6.373227e-05,0.08526689,0.9830602123723196,Accepted
HiResCAM,1.0,64.30650329589844,6.095223903656006,0.053834043,0.0820236,0.120557874,0.02278816,0.26327008,5.3420663e-06,0.24625926,0.9999999999972942,Accepted
GradCAMElementWise,0.9987244606018066,51.989097595214844,6.095223903656006,0.04228323,0.066312626,0.09671955,0.017286606,0.21572939,0.0,0.3321463,1.0,Accepted
GradCAMPlusPlus,1.0,137.4872283935547,6.095223903656006,0.15353024,0.17536636,0.24914151,0.07556709,0.49121946,0.00038668513,0.11375734,0.9985796646355042,Accepted
XGradCAM,1.0,117.97482299804688,6.095223903656006,0.12600064,0.15047811,0.22356269,0.06061238,0.45381385,0.0003214404,0.091266,0.9894332494753647,Accepted
AblationCAM,1.0,93.370361328125,6.095223903656006,0.09379972,0.11909485,0.15974683,0.046306167,0.32239878,4.5984983e-05,0.15196864,0.9999807290074115,Accepted
ScoreCAM,1.0,131.60321044921875,6.095223903656006,0.116533294,0.16786122,0.22763813,0.056108173,0.4833296,0.00070369244,0.19575253,0.9999999672145014,Accepted
EigenCAM,1.0,95.58497619628906,6.095223903656006,0.113377765,0.12191961,0.18578248,0.060074646,0.29812062,0.00015957654,-0.2795167,0.9999999999999984,Accepted
EigenGradCAM,1.0,185.91879272460938,6.095223903656006,0.25788265,0.23714131,0.33529425,0.14546797,0.53117406,0.00042594783,-0.15162903,0.9999798761360562,Accepted
LayerCAM,0.9987244606018066,51.989097595214844,6.095223903656006,0.04228323,0.066312626,0.09671955,0.017286606,0.21572939,0.0,0.3321463,1.0,Accepted
FullGrad,1.0,76.517333984375,6.095223903656006,0.086480826,0.09759863,0.13773182,0.045584194,0.2657145,9.5427036e-05,0.06124443,0.9134195522807085,Accepted
KPCA_CAM,0.9821428656578064,27.58786392211914,6.095223903656006,0.025466442,0.0351886,0.047829136,0.0111273285,0.10134566,0.0,0.21548048,0.9999999989095413,Accepted
FEM,1.0,64.02521514892578,6.095223903656006,0.060788006,0.08166482,0.119899645,0.02722282,0.25469926,1.7881393e-07,0.28542668,0.9999999999999997,Accepted
ShapleyCAM,1.0,120.32006072998047,6.095223903656006,0.1478003,0.15346946,0.21069506,0.07262942,0.41324726,0.0010250807,0.13351794,0.9998226979265087,Accepted
FinerCAM,1.0,202.7787628173828,6.095223903656006,0.20759362,0.2586464,0.36932462,0.09979122,0.76645696,0.00015187263,0.092740044,0.9906280554314765,Accepted
