Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,149.1932373046875,23.803922653198242,0.1711227,0.1902975,0.26642364,0.08968957,0.5217092,0.00029344857,-0.1410675,0.9999261175236701,Accepted
HiResCAM,1.0,93.05532836914062,23.803922653198242,0.10307987,0.118693024,0.16259697,0.044339016,0.33413878,5.1409006e-06,-0.0073258765,0.16227185869748595,Accepted
GradCAMElementWise,1.0,80.51087951660156,23.803922653198242,0.085633114,0.10269245,0.14193404,0.03988926,0.29429322,6.707013e-05,-0.041242853,0.7512733285185335,Accepted
GradCAMPlusPlus,1.0,133.86581420898438,23.803922653198242,0.1409683,0.1707472,0.24369836,0.06938787,0.4967205,0.0001295805,0.08454837,0.9821066408710724,Accepted
XGradCAM,1.0,119.00518798828125,23.803922653198242,0.12130375,0.15179233,0.20388119,0.054415062,0.42378178,0.00027394295,0.20323735,0.9999999906208926,Accepted
AblationCAM,1.0,139.35256958007812,23.803922653198242,0.15002987,0.17774563,0.24041477,0.084555894,0.46858823,9.3758106e-05,-0.009732049,0.21443017570162703,Accepted
ScoreCAM,1.0,166.31597900390625,23.803922653198242,0.17487837,0.21213774,0.2988609,0.081903905,0.6239562,0.00019472837,-0.21210217,0.999999997999362,Accepted
EigenCAM,1.0,55.592529296875,23.803922653198242,0.05284946,0.07090884,0.09697812,0.024110526,0.20572251,5.9604645e-08,0.17580214,0.9999992700899017,Accepted
EigenGradCAM,1.0,294.0317687988281,23.803922653198242,0.34383214,0.37504053,0.5732585,0.12176702,0.95061725,0.00083244964,0.0064619854,0.14335657496155219,Accepted
LayerCAM,1.0,80.51087951660156,23.803922653198242,0.085633114,0.10269245,0.14193404,0.03988926,0.29429322,6.707013e-05,-0.041242853,0.7512733285185335,Accepted
FullGrad,1.0,72.54376220703125,23.803922653198242,0.07517885,0.0925303,0.12278865,0.03781499,0.249434,3.4749508e-05,-0.0026386194,0.058800588936389064,Accepted
KPCA_CAM,0.9387755393981934,58.8608512878418,23.803922653198242,0.058271416,0.07507761,0.119682744,0.01864362,0.2664292,0.0,0.28437647,0.9999999999999996,Accepted
FEM,0.9821428656578064,119.12651824951172,23.803922653198242,0.11694707,0.1519471,0.21808225,0.04602811,0.47233194,0.0,-0.031641092,0.6237136247308549,Accepted
ShapleyCAM,1.0,157.7537841796875,23.803922653198242,0.17100343,0.20121656,0.30642778,0.076722205,0.63936496,0.0012896005,0.16979483,0.9999982594667861,Accepted
FinerCAM,1.0,171.82284545898438,23.803922653198242,0.19243994,0.2191618,0.31977198,0.07864606,0.680231,0.00074382126,-0.2143723,0.9999999986678764,Accepted
