Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,109.33931732177734,51.89333724975586,0.118452325,0.13946341,0.2003907,0.052953616,0.42003983,0.00016644597,-0.032556675,0.637374236561404,Accepted
HiResCAM,1.0,131.37303161621094,51.89333724975586,0.13388145,0.16756764,0.23541638,0.06524069,0.4851276,9.1046095e-05,-0.019031554,0.40532985094266216,Accepted
GradCAMElementWise,1.0,114.28584289550781,51.89333724975586,0.12679434,0.14577276,0.2116194,0.06056223,0.43014073,0.00063860416,-0.11508843,0.9987537033599798,Accepted
GradCAMPlusPlus,1.0,155.12535095214844,51.89333724975586,0.17115667,0.19786398,0.27429247,0.09823534,0.5295753,0.00034707785,0.0040308386,0.08971847094611751,Accepted
XGradCAM,1.0,219.80654907226562,51.89333724975586,0.24764527,0.28036547,0.3808039,0.12807137,0.75416493,0.0003761649,-0.099849924,0.9948632944190466,Accepted
AblationCAM,1.0,109.28282165527344,51.89333724975586,0.1181935,0.13939135,0.21370754,0.05132093,0.44053122,0.00013533235,-0.16439644,0.9999962948737571,Accepted
ScoreCAM,1.0,222.62130737304688,51.89333724975586,0.25393754,0.28395575,0.42208013,0.109984234,0.890097,0.0008972883,0.15766302,0.9999908050776091,Accepted
EigenCAM,1.0,85.37580871582031,51.89333724975586,0.10368955,0.108897716,0.15465635,0.05471176,0.30358177,0.0003888607,0.06531927,0.9324466458468267,Accepted
EigenGradCAM,1.0,248.0029754638672,51.89333724975586,0.2885989,0.3163303,0.45143324,0.14305651,0.86206514,0.00037515163,-0.17771178,0.9999994497371576,Accepted
LayerCAM,1.0,114.28584289550781,51.89333724975586,0.12679434,0.14577276,0.2116194,0.06056223,0.43014073,0.00063860416,-0.11508843,0.9987537033599798,Accepted
FullGrad,1.0,101.7231674194336,51.89333724975586,0.11488615,0.12974894,0.17944932,0.052869037,0.36824048,4.0769577e-05,-0.039879873,0.7352780050614284,Accepted
KPCA_CAM,0.983418345451355,82.54246520996094,51.89333724975586,0.08526114,0.10528376,0.15881675,0.035423107,0.33378643,0.0,0.29512802,1.0,Accepted
FEM,0.9948979616165161,141.63015747070312,51.89333724975586,0.15740779,0.18065071,0.23859057,0.097651474,0.44706255,0.0,-0.043420836,0.7754107455458531,Accepted
ShapleyCAM,1.0,157.21371459960938,51.89333724975586,0.14068381,0.2005277,0.26542684,0.06815235,0.5584074,0.000112921,-0.04910612,0.8304360587884568,Accepted
FinerCAM,1.0,163.40858459472656,51.89333724975586,0.17498147,0.20842932,0.28304484,0.08909472,0.5729166,0.00016885996,-0.1602884,0.9999935204267214,Accepted
