Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,93.67496490478516,67.1015625,0.06463725,0.11948337,0.14866877,0.025961295,0.32014093,0.0002808869,0.27344996,0.9999999999999934,Accepted
HiResCAM,1.0,114.26403045654297,67.1015625,0.11388819,0.14574492,0.2079167,0.04920091,0.43477497,6.2689185e-05,0.13219288,0.9997942053892276,Accepted
GradCAMElementWise,1.0,107.14781188964844,67.1015625,0.112530366,0.13666813,0.19143066,0.05205494,0.3960276,8.289516e-05,0.19437961,0.9999999589689762,Accepted
GradCAMPlusPlus,1.0,108.52523040771484,67.1015625,0.106245965,0.13842505,0.19465414,0.046172775,0.41731742,0.00028321147,0.16323926,0.999995657048261,Accepted
XGradCAM,1.0,141.20848083496094,67.1015625,0.14035785,0.18011284,0.27196735,0.07614802,0.56507665,0.0007298291,0.052040588,0.8545514616603679,Accepted
AblationCAM,1.0,125.28726959228516,67.1015625,0.120661415,0.1598052,0.20676044,0.06343967,0.41249323,0.0008866638,0.14362428,0.9999456312982676,Accepted
ScoreCAM,1.0,182.88221740722656,67.1015625,0.17052537,0.23326814,0.33134693,0.07343525,0.7158765,0.00012373924,-0.096681744,0.9932537550471708,Accepted
EigenCAM,1.0,75.42890167236328,67.1015625,0.086906455,0.096210346,0.133742,0.043624084,0.26783228,0.00072038174,0.18826741,0.999999890757629,Accepted
EigenGradCAM,1.0,168.59130859375,67.1015625,0.18625443,0.21503995,0.334092,0.06939599,0.6706374,0.00044388324,-0.015096657,0.32701600494660843,Accepted
LayerCAM,1.0,107.14781188964844,67.1015625,0.112530366,0.13666813,0.19143066,0.05205494,0.3960276,8.289516e-05,0.19437961,0.9999999589689762,Accepted
FullGrad,1.0,120.11009216308594,67.1015625,0.124303974,0.15320165,0.21056964,0.06254071,0.43234217,0.00011861324,-0.10889234,0.9977358766530342,Accepted
KPCA_CAM,1.0,70.19659423828125,67.1015625,0.06060811,0.08953647,0.12500888,0.023997195,0.27415097,0.00013255328,0.20085394,0.9999999859555019,Accepted
FEM,0.9987244606018066,165.90545654296875,67.1015625,0.19437107,0.2116141,0.29519692,0.114740655,0.54008156,0.0,-0.06343906,0.924142815171016,Accepted
ShapleyCAM,1.0,167.59548950195312,67.1015625,0.15727946,0.21376976,0.27815974,0.08119214,0.5730339,6.9499016e-05,0.18026686,0.9999996247447791,Accepted
FinerCAM,1.0,190.93359375,67.1015625,0.21015304,0.24353775,0.3576805,0.09280659,0.7532377,0.0002593398,0.05983521,0.9059111665660101,Accepted
