Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,158.80198669433594,11.205098152160645,0.1556012,0.20255357,0.29232204,0.068920046,0.62691,0.0008639842,0.121544264,0.9993514670970529,Accepted
HiResCAM,1.0,85.48799133300781,11.205098152160645,0.08435115,0.109040804,0.15813026,0.028179007,0.35285765,0.0001437813,0.012907825,0.28179478719791573,Accepted
GradCAMElementWise,0.9987244606018066,69.68098449707031,11.205098152160645,0.06569569,0.08887881,0.12376841,0.032859437,0.25973347,0.0,0.09723045,0.9935613981259062,Accepted
GradCAMPlusPlus,1.0,127.88127899169922,11.205098152160645,0.14314024,0.16311386,0.24347182,0.06573355,0.49614108,0.00022396445,0.067889884,0.9425770565598901,Accepted
XGradCAM,1.0,106.3783950805664,11.205098152160645,0.10816972,0.13568673,0.20941848,0.043762542,0.454941,0.0003568381,-0.10147674,0.9955471514340433,Accepted
AblationCAM,1.0,128.7816619873047,11.205098152160645,0.13731748,0.16426232,0.2308677,0.06941274,0.46079192,0.0010023117,-0.002356751,0.05253005637798158,Accepted
ScoreCAM,1.0,168.48910522460938,11.205098152160645,0.21182697,0.21490957,0.30397555,0.09177661,0.6221298,0.0010487443,0.07416631,0.9621248130939077,Accepted
EigenCAM,1.0,95.99999237060547,11.205098152160645,0.11898185,0.12244897,0.17220017,0.06016001,0.33410573,0.00016582012,-0.26383555,0.9999999999999405,Accepted
EigenGradCAM,1.0,163.2283172607422,11.205098152160645,0.21151555,0.2081994,0.29721057,0.091074154,0.6026378,4.3442473e-05,0.16536337,0.9999967581149413,Accepted
LayerCAM,0.9987244606018066,69.68098449707031,11.205098152160645,0.06569569,0.08887881,0.12376841,0.032859437,0.25973347,0.0,0.09723045,0.9935613981259062,Accepted
FullGrad,0.9987244606018066,80.9554443359375,11.205098152160645,0.09104362,0.1032595,0.14152706,0.041340522,0.2894379,0.0,0.04762566,0.8171880372460996,Accepted
KPCA_CAM,0.9375,27.737625122070312,11.205098152160645,0.024305083,0.03537962,0.051297415,0.0112755075,0.10868549,0.0,0.14225218,0.9999358632887503,Accepted
FEM,0.9948979616165161,66.45614624023438,11.205098152160645,0.076288864,0.084765494,0.12284505,0.035336215,0.24293074,0.0,-0.0033621788,0.07488374529102726,Accepted
ShapleyCAM,1.0,172.16261291503906,11.205098152160645,0.1961101,0.21959516,0.30835453,0.09328669,0.6246768,0.0009868741,-0.09919774,0.9945635151340414,Accepted
FinerCAM,1.0,183.80393981933594,11.205098152160645,0.19385985,0.23444378,0.34236586,0.0982643,0.69950813,0.00019824505,-0.027724177,0.5617705502309017,Accepted
