Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,146.90042114257812,162.82435607910156,0.1199969,0.18737298,0.25415838,0.049237154,0.5612683,8.478761e-05,0.42047304,1.0,Accepted
HiResCAM,1.0,97.95680236816406,162.82435607910156,0.09447752,0.1249449,0.17799082,0.045310188,0.37056834,0.0002159588,0.13357648,0.9998238667709752,Accepted
GradCAMElementWise,1.0,104.06675720214844,162.82435607910156,0.10891455,0.13273822,0.20162672,0.045215532,0.43314236,2.7686357e-05,0.07676682,0.9683825884886362,Accepted
GradCAMPlusPlus,1.0,158.24310302734375,162.82435607910156,0.17550445,0.20184067,0.28674188,0.088798255,0.5771095,0.00028724968,0.17580676,0.9999992705890993,Accepted
XGradCAM,1.0,196.13888549804688,162.82435607910156,0.21699484,0.25017715,0.3603133,0.10911011,0.7201,0.00070008636,-0.19875075,0.999999980025614,Accepted
AblationCAM,1.0,213.62554931640625,162.82435607910156,0.23650064,0.2724816,0.39896393,0.12075999,0.8035965,0.0001527369,0.14241531,0.9999371055843211,Accepted
ScoreCAM,1.0,187.95101928710938,162.82435607910156,0.19806835,0.23973344,0.3689946,0.07730464,0.79042625,0.00012610701,-0.16000363,0.9999932679714949,Accepted
EigenCAM,1.0,170.68133544921875,162.82435607910156,0.19898391,0.21770579,0.28893614,0.09221807,0.576893,9.4890594e-05,0.49056387,1.0,Accepted
EigenGradCAM,1.0,258.35687255859375,162.82435607910156,0.34760457,0.32953683,0.5347851,0.120147556,0.9718958,0.00068377564,0.24876082,0.9999999999984002,Accepted
LayerCAM,1.0,104.06675720214844,162.82435607910156,0.10891455,0.13273822,0.20162672,0.045215532,0.43314236,2.7686357e-05,0.07676682,0.9683825884886362,Accepted
FullGrad,1.0,95.00130462646484,162.82435607910156,0.1037821,0.12117513,0.16657375,0.054883398,0.33064362,0.00059223175,0.027599342,0.5597051186839067,Accepted
KPCA_CAM,0.9744898080825806,213.3016815185547,162.82435607910156,0.19152513,0.27206844,0.4097508,0.07300624,0.90226704,0.0,0.62879944,1.0,Accepted
FEM,0.9948979616165161,125.64837646484375,162.82435607910156,0.12262665,0.16026579,0.22376822,0.052828636,0.47985953,0.0,0.035450116,0.6784758585296282,Accepted
ShapleyCAM,1.0,180.90635681152344,162.82435607910156,0.20634614,0.23074788,0.33417886,0.12279625,0.6197305,0.0003170669,0.050956555,0.8459683835247729,Accepted
FinerCAM,1.0,170.07691955566406,162.82435607910156,0.17146969,0.21693486,0.25955394,0.09196511,0.51067364,0.0023729801,0.049848117,0.8367989750301396,Accepted
