Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,184.31411743164062,160.16795349121094,0.20999444,0.23509453,0.30028546,0.13379844,0.5481769,9.2417e-05,-0.13003029,0.9997383182867917,Accepted
HiResCAM,1.0,100.78899383544922,160.16795349121094,0.09593725,0.12855738,0.18143754,0.045330577,0.38437703,0.00011590123,0.27276388,0.9999999999999923,Accepted
GradCAMElementWise,1.0,96.84798431396484,160.16795349121094,0.09473243,0.12353058,0.17731291,0.045719597,0.37461075,0.0003387332,0.3553283,1.0,Accepted
GradCAMPlusPlus,1.0,131.83216857910156,160.16795349121094,0.14504899,0.1681533,0.24686652,0.057012826,0.52210766,0.00056117773,0.63628674,1.0,Accepted
XGradCAM,1.0,148.47300720214844,160.16795349121094,0.16410786,0.18937886,0.264369,0.071826026,0.5392219,0.0020499378,0.35470656,1.0,Accepted
AblationCAM,1.0,116.92085266113281,160.16795349121094,0.114896946,0.14913374,0.21665701,0.050416626,0.4634843,7.7370554e-05,0.29702574,1.0,Accepted
ScoreCAM,1.0,135.0675048828125,160.16795349121094,0.118802756,0.17227998,0.23790342,0.046353094,0.52339494,1.3500452e-05,0.10292062,0.9960839270381346,Accepted
EigenCAM,1.0,195.85569763183594,160.16795349121094,0.24218124,0.24981596,0.33805785,0.14382364,0.6269192,0.000513643,0.08720759,0.9854169141853957,Accepted
EigenGradCAM,1.0,114.33613586425781,160.16795349121094,0.094818875,0.14583692,0.22045274,0.029771227,0.4987604,0.00014825165,0.307368,1.0,Accepted
LayerCAM,1.0,96.84798431396484,160.16795349121094,0.09473243,0.12353058,0.17731291,0.045719597,0.37461075,0.0003387332,0.3553283,1.0,Accepted
FullGrad,1.0,148.78224182128906,160.16795349121094,0.18031022,0.18977329,0.26490158,0.091621175,0.51138985,0.0008621514,0.097372875,0.9936391784247389,Accepted
KPCA_CAM,1.0,193.07040405273438,160.16795349121094,0.24443527,0.24626327,0.35354948,0.09511278,0.6960168,1.1473894e-05,0.52900225,1.0,Accepted
FEM,1.0,119.05632019042969,160.16795349121094,0.122170046,0.15185755,0.21831235,0.052422553,0.46503717,0.00041539967,0.17111118,0.999998557594863,Accepted
ShapleyCAM,1.0,102.381591796875,160.16795349121094,0.12196779,0.13058877,0.17711103,0.058003783,0.35471717,6.198883e-06,0.18081187,0.9999996544116564,Accepted
FinerCAM,1.0,186.99058532714844,160.16795349121094,0.19081943,0.23850837,0.33125952,0.1119844,0.656915,0.00077392906,-0.04685983,0.8100417606889269,Accepted
