Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,146.3351287841797,133.71841430664062,0.1504865,0.18665197,0.26980287,0.075040884,0.5615618,3.182888e-05,0.29799157,1.0,Accepted
HiResCAM,1.0,103.56317901611328,133.71841430664062,0.10719895,0.13209589,0.19230881,0.048840135,0.39024955,9.059906e-05,-0.11245952,0.9983886968547331,Accepted
GradCAMElementWise,1.0,101.25064849853516,133.71841430664062,0.10179172,0.12914622,0.19348164,0.03800817,0.41594332,0.00024795532,-0.045503583,0.7968852952575745,Accepted
GradCAMPlusPlus,1.0,250.63406372070312,133.71841430664062,0.31913996,0.3196863,0.46598524,0.18235102,0.81510377,0.0014240742,-0.31336144,1.0,Accepted
XGradCAM,1.0,151.8912811279297,133.71841430664062,0.15496528,0.19373886,0.28093335,0.07379928,0.5885438,0.0003900826,0.30590823,1.0,Accepted
AblationCAM,1.0,150.22866821289062,133.71841430664062,0.18200046,0.1916182,0.26567316,0.10390653,0.49851787,0.001207754,0.29934108,1.0,Accepted
ScoreCAM,1.0,109.01034545898438,133.71841430664062,0.11577516,0.13904381,0.20800471,0.05201775,0.43665734,0.00011560321,-0.12193769,0.9993774276032801,Accepted
EigenCAM,1.0,199.60470581054688,133.71841430664062,0.2210837,0.25459784,0.36746585,0.12134023,0.72022027,0.00061008334,0.29192054,0.9999999999999999,Accepted
EigenGradCAM,1.0,225.31922912597656,133.71841430664062,0.27091885,0.28739697,0.44124812,0.13070145,0.7301413,0.0004018098,0.24470784,0.9999999999962625,Accepted
LayerCAM,1.0,101.25064849853516,133.71841430664062,0.10179172,0.12914622,0.19348164,0.03800817,0.41594332,0.00024795532,-0.045503583,0.7968852952575745,Accepted
FullGrad,1.0,77.50576782226562,133.71841430664062,0.08842674,0.0988594,0.13917948,0.042674728,0.28027013,7.480383e-05,-0.04455543,0.7873017811277265,Accepted
KPCA_CAM,0.956632673740387,176.3135986328125,133.71841430664062,0.14525484,0.2248898,0.35358796,0.0634012,0.78069365,0.0,0.5714184,1.0,Accepted
FEM,1.0,109.96802520751953,133.71841430664062,0.11554602,0.14026535,0.18700665,0.060396615,0.37585855,0.00026333332,0.12008554,0.9992462089072198,Accepted
ShapleyCAM,0.9987244606018066,145.83778381347656,133.71841430664062,0.16006255,0.18601759,0.28351906,0.06619064,0.54090184,0.0,0.40881544,1.0,Accepted
FinerCAM,1.0,166.05006408691406,133.71841430664062,0.18449217,0.21179855,0.3000589,0.08718942,0.6168323,0.00055764616,0.22469866,0.9999999998022338,Accepted
