Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,138.355224609375,4.497237205505371,0.16350162,0.1764735,0.23104261,0.082978435,0.45170832,0.0007814467,0.15988575,0.9999931606894665,Accepted
HiResCAM,1.0,157.29417419433594,4.497237205505371,0.17405576,0.20063034,0.3016007,0.06204991,0.6420605,0.00034669042,0.1253801,0.9995667165652639,Accepted
GradCAMElementWise,0.9987244606018066,100.07925415039062,4.497237205505371,0.103041954,0.12765211,0.18379402,0.05463542,0.37577957,0.0,0.079532415,0.9740448382607066,Accepted
GradCAMPlusPlus,1.0,149.13600158691406,4.497237205505371,0.15748064,0.19022451,0.2839776,0.06836228,0.60161924,0.000813961,-0.12303425,0.999444762492377,Accepted
XGradCAM,1.0,203.5096435546875,4.497237205505371,0.2290354,0.25957865,0.35604706,0.1338639,0.66752684,0.00046423078,0.1599369,0.9999932074242861,Accepted
AblationCAM,1.0,94.67617797851562,4.497237205505371,0.083161384,0.12076043,0.16181158,0.03510217,0.35127738,3.7059188e-05,0.004153326,0.09243410566642751,Accepted
ScoreCAM,0.9336734414100647,115.98067474365234,4.497237205505371,0.10193603,0.14793454,0.2238417,0.035179105,0.50551534,0.0,0.16696669,0.9999974065583863,Accepted
EigenCAM,0.9948979616165161,32.26692581176758,4.497237205505371,0.036739856,0.041156795,0.060522728,0.019048959,0.12088132,0.0,0.05852513,0.898472181835416,Accepted
EigenGradCAM,1.0,79.44013214111328,4.497237205505371,0.06279336,0.1013267,0.13688554,0.026558803,0.30163777,2.7662143e-05,0.20552692,0.9999999936656842,Accepted
LayerCAM,0.9987244606018066,100.07925415039062,4.497237205505371,0.103041954,0.12765211,0.18379402,0.05463542,0.37577957,0.0,0.079532415,0.9740448382607066,Accepted
FullGrad,1.0,76.20719146728516,4.497237205505371,0.06903297,0.09720304,0.13664475,0.031293422,0.29230303,5.3033233e-05,0.054249167,0.8709025828955069,Accepted
KPCA_CAM,1.0,89.79401397705078,4.497237205505371,0.10881268,0.11453317,0.16678417,0.059304886,0.29039022,0.000490278,0.036768384,0.6961542392613301,Accepted
FEM,0.7602040767669678,18.799833297729492,4.497237205505371,0.009956345,0.023979379,0.039214805,7.415386e-05,0.09544593,0.0,0.00050091743,0.011172659894707837,Rejected
ShapleyCAM,1.0,193.5313720703125,4.497237205505371,0.22162485,0.24685124,0.36999542,0.12023842,0.662421,0.00010022521,0.094291285,0.9917541214887579,Accepted
FinerCAM,1.0,168.10379028320312,4.497237205505371,0.16117309,0.21441808,0.2940844,0.07765412,0.61670756,9.387732e-06,0.122118995,0.999389054109708,Accepted
