Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,159.33447265625,3.818419933319092,0.16385196,0.20323275,0.30087996,0.06368086,0.6545727,0.0003453791,0.20626852,0.9999999944273097,Accepted
HiResCAM,1.0,144.68917846679688,3.818419933319092,0.14430967,0.18455252,0.27327085,0.06332125,0.58791214,0.00075638294,0.13947068,0.9999107553906028,Accepted
GradCAMElementWise,1.0,71.94935607910156,3.818419933319092,0.06869989,0.09177214,0.1308785,0.030917026,0.2800418,2.5629997e-05,0.1204908,0.9992769408971581,Accepted
GradCAMPlusPlus,1.0,196.08059692382812,3.818419933319092,0.22759281,0.2501028,0.3581524,0.10813373,0.7147807,0.00082215667,0.13297085,0.9998114135757525,Accepted
XGradCAM,1.0,136.71751403808594,3.818419933319092,0.13292262,0.17438456,0.26356345,0.05599392,0.5626863,0.00027017295,0.22410455,0.9999999997787258,Accepted
AblationCAM,1.0,182.66729736328125,3.818419933319092,0.19771501,0.23299402,0.32496542,0.09384904,0.66582835,0.0002465546,0.03289214,0.6423009844620342,Accepted
ScoreCAM,0.9477040767669678,124.31204223632812,3.818419933319092,0.11162761,0.15856127,0.22972226,0.035921305,0.5077078,0.0,0.124493316,0.999523896701287,Accepted
EigenCAM,0.9987244606018066,15.039533615112305,3.818419933319092,0.017036155,0.01918308,0.028578214,0.007834908,0.059068978,0.0,0.25398332,0.9999999999994759,Accepted
EigenGradCAM,1.0,118.12532806396484,3.818419933319092,0.1261835,0.15067007,0.20850305,0.07915228,0.40086526,0.00028060377,0.055436246,0.8790818318404119,Accepted
LayerCAM,1.0,71.94935607910156,3.818419933319092,0.06869989,0.09177214,0.1308785,0.030917026,0.2800418,2.5629997e-05,0.1204908,0.9992769408971581,Accepted
FullGrad,0.9974489808082581,63.07957458496094,3.818419933319092,0.07219881,0.08045864,0.11200843,0.04013202,0.21977857,0.0,0.13532425,0.9998556119986416,Accepted
KPCA_CAM,0.9196428656578064,13.208829879760742,3.818419933319092,0.011704534,0.016847998,0.02439729,0.003984727,0.054840863,0.0,0.18516389,0.9999998225513638,Accepted
FEM,0.8890306353569031,25.075180053710938,3.818419933319092,0.024652556,0.031983647,0.04114087,0.007344905,0.09158358,0.0,0.112249754,0.9983556972494908,Accepted
ShapleyCAM,1.0,240.40257263183594,3.818419933319092,0.24446516,0.30663592,0.49246463,0.13522962,0.8156458,0.00016217679,0.10234379,0.9958769350180218,Accepted
FinerCAM,1.0,221.59762573242188,3.818419933319092,0.21061358,0.28265002,0.4403901,0.08848016,0.9647664,0.00075289607,0.2344359,0.9999999999700008,Accepted
