Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,210.79608154296875,11.49044418334961,0.26853245,0.26887256,0.37128797,0.16772173,0.6032593,0.00021392107,-0.015474245,0.33470346723342825,Accepted
HiResCAM,1.0,157.96133422851562,11.49044418334961,0.1835492,0.2014813,0.30051315,0.08383817,0.621864,0.00032690167,0.064892165,0.9306290271499251,Accepted
GradCAMElementWise,1.0,129.24453735351562,11.49044418334961,0.14099059,0.16485274,0.24717763,0.068685554,0.49670362,0.00024166703,-0.031321894,0.6188766166832224,Accepted
GradCAMPlusPlus,1.0,149.29885864257812,11.49044418334961,0.15370248,0.19043222,0.27992707,0.064205185,0.5961155,0.00011295825,0.0984416,0.9941962886626151,Accepted
XGradCAM,1.0,216.0613250732422,11.49044418334961,0.26408625,0.27558842,0.38869795,0.09718996,0.8201008,0.0005006641,-0.12477261,0.9995377867404853,Accepted
AblationCAM,1.0,199.4075927734375,11.49044418334961,0.22366676,0.2543464,0.36598328,0.10351481,0.74741143,0.0002117753,0.016499288,0.3553980704357401,Accepted
ScoreCAM,0.9196428656578064,132.06094360351562,11.49044418334961,0.12290479,0.16844507,0.24902992,0.04889323,0.54550153,0.0,-0.06452482,0.9290336671508708,Accepted
EigenCAM,1.0,67.05690002441406,11.49044418334961,0.07170822,0.085531764,0.123870954,0.030852666,0.2618849,0.00038090348,0.036618426,0.6941763873121537,Accepted
EigenGradCAM,1.0,217.96337890625,11.49044418334961,0.2594387,0.2780145,0.39902717,0.10984039,0.8195811,0.0013575107,-0.0636414,0.9250748718259565,Accepted
LayerCAM,1.0,129.24453735351562,11.49044418334961,0.14099059,0.16485274,0.24717763,0.068685554,0.49670362,0.00024166703,-0.031321894,0.6188766166832224,Accepted
FullGrad,1.0,112.22370910644531,11.49044418334961,0.1284563,0.14314249,0.20377839,0.06276697,0.40127614,0.00024923682,-0.068368234,0.9443152130974777,Accepted
KPCA_CAM,0.9145408272743225,48.8428955078125,11.49044418334961,0.042437553,0.062299617,0.09004848,0.014132408,0.20311868,0.0,-0.021277722,0.4480839376801373,Accepted
FEM,0.8788265585899353,90.49385833740234,11.49044418334961,0.07813775,0.11542583,0.18352477,0.019180115,0.42794073,0.0,-0.019676672,0.4177638769421229,Accepted
ShapleyCAM,1.0,290.0091857910156,11.49044418334961,0.36526692,0.36990964,0.5123558,0.21371853,0.9178922,0.0018585324,-0.046437476,0.8060135750142696,Accepted
FinerCAM,1.0,190.4334716796875,11.49044418334961,0.19828695,0.24289982,0.37711644,0.088284716,0.75293654,0.00020080805,-0.05001048,0.8381670980260524,Accepted
